english,urdu,poetic_urdu
Don't leave today's work for tomorrow,آج کا کام کل پر مت چھوڑو,آبشار خوبصورت ہے۔
Today the weather is very nice,آج موسم بہت اچھا ہے,کارِ امروز مفگن بر فردا
Today the weather is very nice,آج موسم بہت اچھا ہے,آج رنگین ہے سماں، دلکش ہے فضا
Today the weather is very nice.,آج موسم بہت اچھا ہے۔,آج فطرت نے رنگوں کی دھن بکھری ہے
Today the weather is very nice.,آج موسم بہت اچھا ہے۔,آج رنگِ فضا عجب دلکش ہے۔
Today the weather is very nice.,آج موسم بہت اچھا ہے۔,آج رنگِ فضا عجب سہانا ہے۔
Today the weather is very nice.,آج موسم بہت اچھا ہے۔,آج رنگین ہے سماں، دل ہے شاداں۔
Today the weather is very nice.,آج موسم بہت اچھا ہے۔,آج رنگین ہے سماں، دلکش نظارہ ہے۔
Prepare for the hereafter.,آخرت کی تیاری کرو۔,آج ہے رنگیں سماں، دلکش نظارہ فضا کا۔
Prepare for the hereafter.,آخرت کی تیاری کرو۔,آخرت کی فکر کرو۔
take rest,آرام کرو۔,آخرت کے لیے زادِ راہ جمع کرو
take rest,آرام کرو۔,استراحت کرو۔
The stars are shining in the sky.,آسمان پر ستارے چمک رہے ہیں۔,مناسب آرام کرو
The sky is clear.,آسمان صاف ہے۔,فلک پر ہیں انجم، ضیا بار رات ہے۔
The sky is blue.,آسمان نیلا ہے۔,آسمان شفاف ہے۔
The sky is blue.,آسمان نیلا ہے۔,آسمان کا رنگ نیلا سہانا ہے
The sky is blue.,آسمان نیلا ہے۔,فلک کا رنگ نیلا، عجب نظارہ ہے۔
Mango is the favorite fruit of Pakistan.,آم پاکستان کا پسندیدہ پھل ہے۔,نیلا گگن ہے چھایا ہوا فضا پر۔
Take care of yourself.,اپنا خیال رکھو۔,آم ہے پھلوں کا بادشاہ، پاکستان کی شان ہے تو
Take care of your health.,اپنی صحت کا خیال رکھو۔,اپنی نگہداشت کرو۔
Love yourself.,اپنے آپ سے پیار کرو۔,صحت مند زندگی گزارو
Respect your teachers.,اپنے اساتذہ کا احترام کرو۔,اپنی ذات سے محبت کرو۔
Respect your elders.,اپنے بڑوں کا احترام کرو۔,اساتذہ کا احترام کرو
Love your little ones.,اپنے چھوٹوں سے پیار کرو۔,بڑوں کی عزت کرو
Keep your city clean.,اپنے شہر کو صاف رکھو۔,چھوٹوں سے شفقت سے پیش آؤ
Keep your house clean.,اپنے گھر کو صاف رکھو۔,اپنے شہر کو صاف ستھرا رکھو۔
Follow your religion.,اپنے مذہب پر عمل کرو۔,اپنے گھر کو صاف ستھرا رکھو۔
Love your country.,اپنے ملک سے پیار کرو۔,اپنے مذہب پر عمل کرنا ضروری ہے
Love your country.,اپنے ملک سے محبت کرو۔,اپنے ملک سے پیار کرنا فرض ہے
Serve your country.,اپنے ملک کی خدمت کرو۔,اپنے وطن سے محبت کرو
Respect your parents.,اپنے والدین کا احترام کرو۔,اپنے وطن کی خدمت کرو۔
Serve your country.,اپنے وطن کی خدمت کرو۔,والدین کی عزت کرو
There is a blessing in unity,اتحاد میں برکت ہے,اپنے ملک کی خدمت کرو
There is a blessing in unity.,اتحاد میں برکت ہے۔,اتفاق میں ہے قوت
think well,اچھا سوچو۔,اتحاد میں ہے برکت پنہاں۔
Be a good citizen.,اچھا شہری بنو۔,اچھا سوچو، یہ ہے خوشی کا راستہ۔
eat well,اچھا کھاؤ۔,ایک اچھے شہری کی طرح زندگی گزارو
Be a good citizen.,اچھے شہری بنو۔,صحت بخش غذا کھاؤ
Do good deeds.,اچھے کام کرو۔,ایک اچھے شہری کی طرح زندگی گزارو
Be respectful.,احترام کرو۔,اچھے کام کرنے سے ثواب ملتا ہے
Be respectful.,احترام کرو۔,احترام کرنے سے عزت ملتی ہے
Accept the favor.,احسان مانو۔,سب کا احترام کرو
Urdu is a sweet language.,اردو ایک شیریں زبان ہے۔,شکر گزار رہو
Urdu is the national language of Pakistan.,اردو پاکستان کی قومی زبان ہے۔,اردو زبانِ شیریں تر ہے۔
Urdu text,اردو متن,اردو ہے قومی زباں یہاں، محبت کی نشانی ہے تو
Worship him.,اس کی عبادت کرو۔,شاعرانہ ترجمہ
He passed the exam,اس نے امتحان پاس کر لیا,اسی کی پرستش کرو
The teacher is teaching the children.,استاد بچوں کو پڑھا رہے ہیں۔,اس نے معرکۂ امتحان سر کر لیا
Teachers teach children.,استاد بچوں کو پڑھاتے ہیں۔,درس دے رہے ہیں معلم، نونہالوں کو علم سکھا رہے ہیں۔
The teacher is teaching,استاد پڑھا رہا ہے,معلم سکھاتے ہیں راہِ علم و آگہی۔
Teacher teaches.,استاد پڑھاتے ہیں۔,درس دے رہا ہے استاد، علم کی شمع ہے یہ
A teacher lights the candle of knowledge.,استاد علم کی شمع روشن کرتے ہیں۔,معلم دیتے ہیں علم کا نور
A teacher lights the candle of knowledge.,استاد علم کی شمع روشن کرتے ہیں۔,استاد علم کے سفیر ہیں۔
Teacher is the candle of knowledge.,استاد علم کی شمع ہے۔,معلم علم کی شمع فروزاں کرتے ہیں۔
Teachers are the builders of the nation.,استاد قوم کے معمار ہوتے ہیں۔,استاد کی روشنی سے منور ہے جہاں
Teachers are the builders of the nation.,استاد قوم کے معمار ہیں۔,استاد ہیں معمارِ قوم۔
The teacher should be respected.,استاد کا احترام کرنا چاہیے۔,معلم قوم کے رہنما ہیں۔
Listen to what the teacher says.,استاد کا کہنا مانو۔,قدر کرو تم معلم کی ہمیشہ۔
Islamabad is the capital of Pakistan.,اسلام آباد پاکستان کا دارالحکومت ہے۔,استاد کے فرمان پر چلو، یہ ہے کامیابی کا راستہ۔
Islamabad is the capital of Pakistan.,اسلام آباد پاکستان کا دارالحکومت ہے۔,اسلام آباد ہے دارالحکومت، مرکزِ نگاہِ جہاں ہے تو
Credibility is essential.,اعتبار ضروری ہے۔,اسلام آباد، دارالحکومتِ پاکستان، امن کا گہوارہ
Allah is one.,اللہ ایک ہے۔,اعتبار سے رشتے مضبوط ہوتے ہیں
Allah is very merciful.,اللہ بڑا رحیم ہے۔,اللہ واحد ہے۔
Allah is a great star.,اللہ بڑا ستار ہے۔,اللہ بڑا رحیم ہے۔
Allah is very forgiving.,اللہ بڑا غفور ہے۔,اللہ بڑا ستار ہے۔
Allah is the most generous.,اللہ بڑا کریم ہے۔,اللہ بڑا غفور ہے۔
Exam is near.,امتحان قریب ہے۔,اللہ بڑا کریم ہے۔
Keep the peace.,امن برقرار رکھو۔,امتحان کی گھڑی سر پر ہے
Be in peace.,امن سے رہو۔,دنیا میں امن و امان قائم کرو
Peace is essential.,امن ضروری ہے۔,آشتی سے بسر کرو۔
Life is happy in peace.,امن میں زندگی خوشگوار ہوتی ہے۔,امن سے خوشحالی آتی ہے
Law and order is essential,امن و امان ضروری ہے,امن و سکون میں زندگی پر بہار ہوتی ہے۔
Hope is a power.,امید ایک طاقت ہے۔,امن و اماں سے ہے زندگی میں سکوں
The world is built on hope.,امید پر دنیا قائم ہے۔,امید زندگی کو جاری رکھنے کی وجہ ہے
The world is built on hope.,امید پر دنیا قائم ہے۔,آرزو کی شمع سے روشن ہے جہانِ زیست
Hope inspires.,امید سے حوصلہ ملتا ہے۔,آس کی ڈوری سے زندگی بندھی ہے۔
Keep hope.,امید قائم رکھو۔,امید سے حوصلہ ملتا ہے۔
Hope should never be given up.,امید کا دامن کبھی نہیں چھوڑنا چاہیے۔,امید کا دامن نہ چھوڑو۔
Darkness is a sign of ignorance.,اندھیرا جہالت کی علامت ہے۔,امید کا دامن نہ چھوڑ اے دل۔
It is dark.,اندھیرا چھا گیا ہے۔,ظلمت جہالت کی نشانی ہے۔
Man is prone to error.,انسان خطا کا پتلا ہے۔,تاریکی چھا گئی۔
Man is prone to error.,انسان خطا کا پتلا ہے۔,انسان ہے خطا کا پیکر ہمیشہ۔
Man is prone to error.,انسان خطا کا پتلا ہے۔,بشر سے خطا سرزد ہوتی ہے۔
Man is prone to error.,انسان خطا کا پتلا ہے۔,غلطی کا امکان ہے ہر انسان میں
Justice is essential.,انصاف ضروری ہے۔,انسان ہے پتلا خطاؤں کا۔
do justice,انصاف کرو,انصاف سے حق ملتا ہے
English is an international language.,انگریزی ایک بین الاقوامی زبان ہے۔,عدل سے کام لو
The camel is running.,اونٹ چل رہا ہے۔,انگریزی ہے عالمی زباں، دنیا سے جوڑتی ہے تو
Trust each other.,ایک دوسرے پر بھروسہ کرو۔,اونٹ چل رہا ہے۔
Love one another.,ایک دوسرے سے محبت کرو۔,ایک دوسرے پر اعتماد کرو
Respect each other.,ایک دوسرے کا احترام کرو۔,پیار اور محبت سے پیش آؤ
Understand each other.,ایک دوسرے کو سمجھو۔,ایک دوسرے کی عزت کرو
Forgive each other.,ایک دوسرے کو معاف کرو۔,ایک دوسرے کی بات سمجھو
Appreciate each other.,ایک دوسرے کی قدر کرو۔,ایک دوسرے کی غلطیاں معاف کرو
Help each other.,ایک دوسرے کی مدد کرو۔,ایک دوسرے کی اہمیت کو جانو
Be with each other.,ایک دوسرے کے ساتھ رہو۔,باہمی تعاون سے کام کرو
Pray for each other.,ایک دوسرے کے لیے دعا کرو۔,مشکل وقت میں ایک دوسرے کا ساتھ دو
Be honest.,ایماندار بنو۔,ایک دوسرے کے لیے نیک خواہشات کا اظہار کرو
Be honest.,ایماندار رہو۔,راست باز بنو۔
Be honest.,ایماندار رہو۔,ایمانداری سے عزت ملتی ہے
Honesty is the best policy.,ایمانداری بہترین پالیسی ہے۔,ہمیشہ ایماندار رہو
Honesty is the best policy.,ایمانداری بہترین پالیسی ہے۔,دیانت ہے بہترین شیوہ ہر دم۔
Honesty is the best strategy,ایمانداری بہترین حکمت عملی ہے,دیانت ہے وہ شیوہ، جو لائے عزت و وقار۔
Honesty is the best strategy.,ایمانداری بہترین حکمت عملی ہے۔,دیانت داری سے بڑھ کر کوئی دانائی نہیں
Save fuel.,ایندھن بچاؤ۔,ایمانداری ہے بہترین تدبیر۔
Badshahi Masjid is a beautiful mosque.,بادشاہی مسجد ایک خوبصورت مسجد ہے۔,ایندھن کی بچت کرو
Clouds are covering the sky.,بادل آسمان پر چھائے ہوئے ہیں۔,بادشاہی مسجد ہے اک دلکش نظارہ، روحانیت کی نشانی ہے تو
The clouds are roaring.,بادل گرج رہے ہیں۔,ابر چھائے ہیں فلک پر۔
Rain falls on the ground.,بارش زمین پر برستی ہے۔,بادل گرج رہے ہیں۔
Rain showers water on the earth.,بارش زمین پر پانی برساتی ہے۔,رحمت کی گھٹا دھرتی پہ برستی ہے۔
Rain brings life to the earth,بارش زمین پر زندگی لاتی ہے,رحمت کی گھٹائیں برسیں دھرتی کی پیاس بجھائیں
Rain brings life to the earth.,بارش زمین پر زندگی لاتی ہے۔,ابرِ رحمت سے کھل اٹھتی ہے دھرتی بے تاب
Rain brings life to the earth.,بارش زمین پر زندگی لاتی ہے۔,ابرِ رحمت سے دھرتی میں جان پڑتی ہے۔
Rain brings life to the earth.,بارش زمین پر زندگی لاتی ہے۔,بارانِ رحمت سے دھرتی پہ حیات نو ہے۔
Rain waters the earth,بارش زمین کو سیراب کرتی ہے,بارش کی ہر بوند، حیات کا پیغام لائی
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے تر ہوتی ہے زمیں کی پیاس
Rain waters the earth.,بارش زمین کو سیراب کرتی ہے۔,ابرِ رحمت سے دھرتی شاداب ہوتی ہے۔
