plain_urdu,poetic_urdu
آبشار خوبصورت ہے۔,آبشار خوبصورت ہے۔
آج کا کام کل پر مت چھوڑو,کارِ امروز مفگن بر فردا
آج موسم بہت اچھا ہے,آج رنگین ہے سماں، دلکش ہے فضا
آج موسم بہت اچھا ہے,آج فطرت نے رنگوں کی دھن بکھری ہے
آج موسم بہت اچھا ہے۔,آج رنگِ فضا عجب دلکش ہے۔
آج موسم بہت اچھا ہے۔,آج رنگِ فضا عجب سہانا ہے۔
آج موسم بہت اچھا ہے۔,آج رنگین ہے سماں، دل ہے شاداں۔
آج موسم بہت اچھا ہے۔,آج رنگین ہے سماں، دلکش نظارہ ہے۔
آج موسم بہت اچھا ہے۔,آج ہے رنگیں سماں، دلکش نظارہ فضا کا۔
آخرت کی تیاری کرو۔,آخرت کی فکر کرو۔
آخرت کی تیاری کرو۔,آخرت کے لیے زادِ راہ جمع کرو
آرام کرو۔,استراحت کرو۔
آرام کرو۔,مناسب آرام کرو
آسمان پر ستارے چمک رہے ہیں۔,فلک پر ہیں انجم، ضیا بار رات ہے۔
آسمان صاف ہے۔,آسمان شفاف ہے۔
آسمان نیلا ہے۔,آسمان کا رنگ نیلا سہانا ہے
آسمان نیلا ہے۔,فلک کا رنگ نیلا، عجب نظارہ ہے۔
آسمان نیلا ہے۔,نیلا گگن ہے چھایا ہوا فضا پر۔
آم پاکستان کا پسندیدہ پھل ہے۔,آم ہے پھلوں کا بادشاہ، پاکستان کی شان ہے تو
اپنا خیال رکھو۔,اپنی نگہداشت کرو۔
اپنی صحت کا خیال رکھو۔,صحت مند زندگی گزارو
اپنے آپ سے پیار کرو۔,اپنی ذات سے محبت کرو۔
اپنے اساتذہ کا احترام کرو۔,اساتذہ کا احترام کرو
اپنے بڑوں کا احترام کرو۔,بڑوں کی عزت کرو
اپنے چھوٹوں سے پیار کرو۔,چھوٹوں سے شفقت سے پیش آؤ
اپنے شہر کو صاف رکھو۔,اپنے شہر کو صاف ستھرا رکھو۔
اپنے گھر کو صاف رکھو۔,اپنے گھر کو صاف ستھرا رکھو۔
اپنے مذہب پر عمل کرو۔,اپنے مذہب پر عمل کرنا ضروری ہے
اپنے ملک سے پیار کرو۔,اپنے ملک سے پیار کرنا فرض ہے
اپنے ملک سے محبت کرو۔,اپنے وطن سے محبت کرو
اپنے ملک کی خدمت کرو۔,اپنے وطن کی خدمت کرو۔
اپنے والدین کا احترام کرو۔,والدین کی عزت کرو
اپنے وطن کی خدمت کرو۔,اپنے ملک کی خدمت کرو
اتحاد میں برکت ہے,اتفاق میں ہے قوت
اتحاد میں برکت ہے۔,اتحاد میں ہے برکت پنہاں۔
اچھا سوچو۔,اچھا سوچو، یہ ہے خوشی کا راستہ۔
اچھا شہری بنو۔,ایک اچھے شہری کی طرح زندگی گزارو
اچھا کھاؤ۔,صحت بخش غذا کھاؤ
اچھے شہری بنو۔,ایک اچھے شہری کی طرح زندگی گزارو
اچھے کام کرو۔,اچھے کام کرنے سے ثواب ملتا ہے
احترام کرو۔,احترام کرنے سے عزت ملتی ہے
احترام کرو۔,سب کا احترام کرو
احسان مانو۔,شکر گزار رہو
اردو ایک شیریں زبان ہے۔,اردو زبانِ شیریں تر ہے۔
اردو پاکستان کی قومی زبان ہے۔,اردو ہے قومی زباں یہاں، محبت کی نشانی ہے تو
اردو متن,شاعرانہ ترجمہ
اس کی عبادت کرو۔,اسی کی پرستش کرو
اس نے امتحان پاس کر لیا,اس نے معرکۂ امتحان سر کر لیا
استاد بچوں کو پڑھا رہے ہیں۔,درس دے رہے ہیں معلم، نونہالوں کو علم سکھا رہے ہیں۔
