English Prompt,Urdu Poetry Response
Write about the beauty of a full moon night,"چاندنی رات کا منظر کتنا سہانا ہے,,جیسے نور کی چادر فلک نے تانی ہے۔"
Describe the feeling of being lost,"راستہ گم ہے اور منزل ہے دُور,,دل پریشان ہے اور حالات ہیں مجبور۔"
Compose a verse on the power of words,"لفظوں میں ہے تاثیر بڑی پیاری,,یہ جوڑتے ہیں دل اور کرتے ہیں یاری۔"
Explain the importance of forgiveness,"معاف کرنا سیکھو، دل کو صاف رکھو,,زندگی میں سکون کا یہی ہے راستہ۔"
Write a poem about the journey of life,"زندگی ایک سفر ہے، کبھی خوشی کبھی غم,,چلتے رہو مسافر، نہ رُکو کبھی تم۔"
Describe the beauty of a blooming flower,"گلشن میں گلاب کتنا پیارا ہے کھلا,,جیسے رنگوں کی بارش ہوئی ہر سُو۔"
Compose a verse on the value of time,"وقت کی قدر کرو، یہ دولت ہے انمول,,گزر جائے تو پھر ہاتھ آتا نہیں۔"
Explain the essence of true love,"محبت سچی ہو تو فنا کر دیتی ہے,,یہ زندگی کو ایک نیا رنگ دیتی ہے۔"
Write a poem about the pain of betrayal,"بے وفائی کا زخم گہرا ہے بہت,,یہ دل کو توڑ دیتا ہے، کرتا ہے خستہ۔"
Describe the feeling of peace,"سکون دل میں ہو تو سب کچھ ہے میسر,,یہ زندگی کی سب سے بڑی نعمت ہے۔"
Compose a verse on the importance of family,"خاندان ایک سایہ ہے گھنا,,یہ مشکل وقت میں دیتا ہے سہارا۔"
Explain the meaning of dreams,"خواب ہیں آنکھوں میں سجے ہوئے موتی,,یہ حقیقت کی دنیا سے الگ ایک بستی۔"
Write a poem about hope for the future,"مستقبل کی امید دل میں رکھو جوان,,کل نیا سورج چڑھے گا، یہ ہے گمان۔"
Describe the beauty of rain,"بارش کی رِم جھِم، مٹی کی خوشبو,,یہ فطرت کا تحفہ ہے کتنا دلکش۔"
Compose a verse on the strength of patience,"صبر کی طاقت سے سب کچھ ہے ممکن,,یہ مشکلوں کو آسان کر دیتا ہے۔"
Explain the value of friendship,"دوستی زندگی کا ایک حسین باب ہے,,یہ غم میں بھی خوشی کا احساس ہے۔"
Write a poem about the loneliness of night,"رات کی تنہائی میں دل ہے اداس,,ستارے ہیں خاموش، چاند بھی چپ چاپ۔"
Describe the feeling of gratitude,"شکر کا احساس دل کو پُر نور کرے,,یہ زندگی کو اور بھی خوبصورت بنائے۔"
Compose a verse on the wisdom of elders,"بڑوں کی نصیحت میں ہے تجربہ کا نور,,یہ زندگی کی راہ میں دکھاتی ہے دستور۔"
Explain the essence of happiness,"خوشی ایک کرن ہے، زندگی کی سحر,,یہ دل کو روشن کرتی ہے، کم کرتی ہے قہر۔"
Write a poem about the changing seasons,"موسم بدلتے ہیں، رنگ بدلتے ہیں,,زندگی کی یہی ریت ہے، چلتے رہتے ہیں۔"
Describe the beauty of a starry sky,"تاروں بھرا آسمان کتنا وسیع ہے,,جیسے خدا نے موتی بکھیر دیے ہوں۔"
Compose a verse on the importance of kindness,"نرمی اور رحم دلی بہترین ہے عمل,,یہ دنیا کو جنت بنا سکتی ہے۔"
Explain the meaning of life's journey,"زندگی کا سفر ایک کہانی ہے طویل,,ہر قدم پہ نیا سبق، نئی ہے دلیل۔"
